id,title,vote_average,vote_count,release_date,runtime,original_language,overview,popularity,poster_path,genres,production_companies,production_countries,spoken_languages,platform,clean_title
79132,Inception,8.364,34495,2010-07-15,148,English,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",83.952,/oYuLEt3zVCKq57qu2F8dT7NIa6f.jpg,"Action, Science Fiction, Adventure","legendary pictures, syncopy, warner bros. pictures","United Kingdom, United States of America","English, French, Japanese, Swahili",Netflix,inception
72998,Avatar,7.573,29815,2009-12-15,162,English,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",79.932,/kyeqWdyUXW608qlYkRqosgbbJyK.jpg,"Action, Adventure, Fantasy, Science Fiction","dune entertainment, lightstorm entertainment, 20th century fox, ingenious media","United States of America, United Kingdom","English, Spanish",Disney Plus,avatar
296,Pulp Fiction,8.488,25893,1994-09-10,154,English,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",74.862,/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg,"Thriller, Crime","miramax, a band apart, jersey films",United States of America,"English, Spanish, French",Netflix,pulp fiction
99114,Django Unchained,8.171,24672,2012-12-25,165,English,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",54.224,/7oWY8VDWW7thTzWh3OKYRkWUlD5.jpg,"Drama, Western","the weinstein company, columbia pictures",United States of America,"English, French, German",Netflix,django unchained
74458,Shutter Island,8.2,22318,2010-02-14,138,English,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor.",56.595,/4GDy0PHYX3VRXUtwK5ysFbg3kEx.jpg,"Drama, Thriller, Mystery","phoenix pictures, paramount, appian way, sikelia productions, mandate international",United States of America,"English, German",Netflix,shutter island
122906,Black Panther,7.39,21053,2018-02-13,135,English,"King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.",43.665,/uxzzxijgPIY7slzFvMotPv8wjKA.jpg,"Action, Adventure, Science Fiction",marvel studios,United States of America,"English, Korean, Swahili, Xhosa",Netflix,black panther
68157,Inglourious Basterds,8.215,20746,2009-08-19,153,English,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",59.162,/7sfbEnaARXDDhKm0CZ7D7uc2sbo.jpg,"Drama, Thriller, War","the weinstein company, universal pictures, a band apart, zehnte babelsberg film, visiona romantica, peninsula films","France, Germany, United States of America","German, English, French, Italian",Netflix,inglourious basterds
134853,Inside Out,7.922,19463,2015-06-09,95,English,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Riley's guiding emotions— Joy, Fear, Anger, Disgust and Sadness—live in Headquarters, the control centre inside Riley's mind, where they help advise her through everyday life and tries to keep things positive, but the emotions conflict on how best to navigate a new city, house and school.",107.292,/2H1TmgdfNtsKlU9jKdeNyYL5y8T.jpg,"Animation, Family, Adventure, Drama, Comedy","pixar, walt disney pictures",United States of America,English,Prime Video,inside out
68954,Up,7.949,18857,2009-05-28,96,English,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",90.968,/vpbaStTMt8qqXaEgnOR2EE4DNJk.jpg,"Animation, Comedy, Family, Adventure",pixar,United States of America,English,Disney Plus,up
6377,Finding Nemo,7.824,18061,2003-05-30,100,English,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",55.456,/ggQ6o8X5984OCh3kZi2UIJQJY5y.jpg,"Animation, Family",pixar,United States of America,English,Disney Plus,finding nemo
177765,Coco,8.222,17742,2017-10-27,105,English,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",166.578,/gGEsBPAijhVUFoiNpgZXqRVWJt2.jpg,"Family, Animation, Fantasy, Music, Comedy, Adventure","pixar, walt disney pictures",United States of America,"English, Spanish",Disney Plus,coco
1,Toy Story,7.971,17152,1995-10-30,81,English,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",78.404,/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,"Animation, Adventure, Family, Comedy",pixar,United States of America,English,Disney Plus,toy story
